main_product_smiles	secondary_products_smiles	similarity_substrates	similarity_products	reacting_atoms_in_query	reaction_id	substrate	product	num_atoms	reacting_atoms_efficiency	confidence_score	metabolite_id
CC12C=CC(=O)C=C1CCC1C2C(=O)C(O)C2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.781	0.702	[0, 9, 11, 12, 14, 15]	MNXR102251	MNXM728289	MNXM730404	6	0.231	1.714	Prednisone_7
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)C(O)O	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.596	0.6	[15, 14, 12, 11, 9, 10, 3, 5, 6, 7, 2, 1, 0]	MNXR158468	MNXM744525	MNXM730568	13	0.5	1.696	Prednisone_2
CC12C=CC(=O)C=C1C(O)CC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.581	0.612	[24, 18, 17, 4, 16, 15, 14, 0, 9, 3, 2, 1]	MNXR102287	MNXM1103903	MNXM1107925	12	0.462	1.655	Prednisone_6
CC12C=CC(=O)C=C1C(O)CC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.741	0.682	[14, 24, 18, 17, 16, 15]	MNXR134359	MNXM730450	MNXM734569	6	0.231	1.654	Prednisone_6
CC12C=CC(=O)C=C1CC(O)C1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.741	0.682	[24, 14, 15, 16, 17, 18]	MNXR134359	MNXM730450	MNXM734569	6	0.231	1.654	Prednisone_5
CC12C=CC(=O)C=C1CCC1C2C(=O)C(O)C2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.741	0.673	[15, 0, 9, 11, 12, 14]	MNXR134359	MNXM730450	MNXM734569	6	0.231	1.645	Prednisone_7
CC12C=CC(=O)C=C1CCC1C2C(=O)C(O)C2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.538	0.544	[3, 2, 1, 0, 15, 16, 17, 18, 24, 14, 12, 11, 9, 10]	MNXR158452	MNXM1103706	MNXM744559	14	0.538	1.62	Prednisone_7
CC12C=CC(=O)C=C1CCC1C2C(=O)C(O)C2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.538	0.544	[3, 2, 1, 0, 15, 16, 17, 18, 24, 14, 12, 11, 9, 10]	MNXR145873	MNXM730346	MNXM741570	14	0.538	1.62	Prednisone_7
CC12C=CC(=O)C=C1CCC1C2C(=O)C(O)C2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O	0.538	0.544	[3, 2, 1, 0, 15, 16, 17, 18, 24, 14, 12, 11, 9, 10]	MNXR102298	MNXM730346	MNXM741570	14	0.538	1.62	Prednisone_7
CC12C=CC(=O)C=C1CCC1C2C(=O)C(O)C2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.538	0.544	[3, 2, 1, 0, 15, 16, 17, 18, 24, 14, 12, 11, 9, 10]	MNXR158431	MNXM1101205	MNXM744558	14	0.538	1.62	Prednisone_7
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)C(O)O	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.513	0.519	[15, 14, 12, 11, 9, 10, 3, 5, 6, 7, 2, 1, 0]	MNXR158462	MNXM735193	MNXM735991	13	0.5	1.532	Prednisone_2
CC12C=CC(=O)C=C1CC(O)C1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.578	0.605	[14, 15, 16, 17, 18, 24]	MNXR102250	MNXM730534	MNXM730568	6	0.231	1.414	Prednisone_5
CC12C=CC(=O)C=C1C(O)CC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.578	0.603	[24, 18, 17, 16, 15, 14]	MNXR102250	MNXM730534	MNXM730568	6	0.231	1.412	Prednisone_6
CC12C=CC(=O)C=C1CCC1C2C(=O)C(O)C2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.578	0.589	[0, 9, 11, 12, 14, 15]	MNXR102250	MNXM730534	MNXM730568	6	0.231	1.398	Prednisone_7
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(OS(=O)(=O)[O-])C(=O)CO	O	0.362	0.451	[24, 18, 17, 16, 15, 14, 12, 11, 9, 10, 3, 4, 2, 1, 0]	MNXR162509	MNXM730284	MNXM726151	15	0.577	1.39	Prednisone_8
CC12C=CC(=O)C=C1CC(O)C1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.538	0.616	[14, 24, 18, 17, 16, 15]	MNXR158452	MNXM1103706	MNXM744559	6	0.231	1.385	Prednisone_5
CC12C=CC(=O)C=C1CC(O)C1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.538	0.616	[14, 24, 18, 17, 16, 15]	MNXR158431	MNXM1101205	MNXM744558	6	0.231	1.385	Prednisone_5
CC12C=CC(=O)C=C1CC(O)C1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O	0.538	0.616	[14, 24, 18, 17, 16, 15]	MNXR102298	MNXM730346	MNXM741570	6	0.231	1.385	Prednisone_5
CC12C=CC(=O)C=C1CC(O)C1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.538	0.616	[14, 24, 18, 17, 16, 15]	MNXR145873	MNXM730346	MNXM741570	6	0.231	1.385	Prednisone_5
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(OS(=O)(=O)[O-])C(=O)CO	O	0.672	0.622	[3, 4]	MNXR162452	MNXM730460	MNXM734396	2	0.077	1.371	Prednisone_8
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)C(O)O	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O	0.337	0.345	[24, 18, 17, 16, 15, 14, 12, 11, 9, 10, 3, 5, 6, 7, 2, 1, 0]	MNXR103631	MNXM734600	MNXM730973	17	0.654	1.336	Prednisone_2
CC12C=CC(=O)C=C1CC(O)C1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.518	0.58	[24, 14, 15, 16, 17, 18]	MNXR158469	MNXM730474	MNXM744525	6	0.231	1.329	Prednisone_5
CC12C=CC(=O)C=C1C(O)CC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.518	0.58	[14, 24, 18, 17, 16, 15]	MNXR158469	MNXM730474	MNXM744525	6	0.231	1.329	Prednisone_6
CC12C=CC(=O)C=C1CCC1C2C(=O)C(O)C2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.518	0.565	[15, 0, 9, 11, 12, 14]	MNXR158469	MNXM730474	MNXM744525	6	0.231	1.314	Prednisone_7
CC12C=CC(=O)C=C1C(O)CC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O	0.538	0.512	[24, 14, 15, 16, 17, 18]	MNXR102298	MNXM730346	MNXM741570	6	0.231	1.281	Prednisone_6
CC12C=CC(=O)C=C1C(O)CC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.538	0.512	[24, 14, 15, 16, 17, 18]	MNXR158431	MNXM1101205	MNXM744558	6	0.231	1.281	Prednisone_6
CC12C=CC(=O)C=C1C(O)CC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.538	0.512	[24, 14, 15, 16, 17, 18]	MNXR145873	MNXM730346	MNXM741570	6	0.231	1.281	Prednisone_6
CC12C=CC(=O)C=C1C(O)CC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.538	0.512	[24, 14, 15, 16, 17, 18]	MNXR158452	MNXM1103706	MNXM744559	6	0.231	1.281	Prednisone_6
CC12CC(=O)C3C(CCC4=CC(=O)C=CC43CO)C1CCC2(O)C(=O)CO	O	0.581	0.6	[24, 25]	MNXR158470	MNXM1103903	MNXM1104220	2	0.077	1.258	Prednisone_9
CC12CC(=O)C3C(CCC4=CC(=O)C=CC43CO)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.581	0.6	[24, 25]	MNXR188603	MNXM1103903	MNXM1104220	2	0.077	1.258	Prednisone_9
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(CO)C1CCC2(O)C(=O)CO	O	0.581	0.526	[9, 10]	MNXR158470	MNXM1103903	MNXM1104220	2	0.077	1.184	Prednisone_10
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(CO)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.581	0.526	[9, 10]	MNXR188603	MNXM1103903	MNXM1104220	2	0.077	1.184	Prednisone_10
CC12CC(=O)C3C(CCC4=CC(=O)C=CC43CO)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.505	0.593	[24, 25]	MNXR134287	MNXM730402	MNXM90384	2	0.077	1.175	Prednisone_9
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)OC1(C(=O)CO)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(=O)CC21C		0.198	0.896	[4, 3]	MNXR154832	MNXM1105765	MNXM744658	2	0.077	1.171	Prednisone_11
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(OC(=O)c1ccccc1)C(=O)CO	CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-])C(O)C(=O)NCCC(=O)NCCS	0.462	0.59	[3, 4]	MNXR110130	MNXM1976	MNXM1702	2	0.077	1.129	Prednisone_12
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(CO)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.505	0.527	[9, 10]	MNXR134287	MNXM730402	MNXM90384	2	0.077	1.109	Prednisone_10
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(OS(=O)(=O)[O-])C(=O)CO	O	0.513	0.511	[3, 4]	MNXR104608	MNXM735193	MNXM732771	2	0.077	1.101	Prednisone_8
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(O)CO	NC(=O)C1=CN(C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)C=CC1.O=O.[H+]	0.508	0.473	[3, 5, 6]	MNXR190410	MNXM1103809	MNXM726097	3	0.115	1.096	Prednisone_4
CC12C=CC(=O)C=C1CCC1C2C(=O)C(O)C2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.258	0.293	[3, 2, 1, 0, 15, 16, 17, 18, 24, 14, 12, 11, 9, 10]	MNXR103708	MNXM741060	MNXM738432	14	0.538	1.089	Prednisone_7
CC12C=CC(=O)C=C1CCC1C2C(=O)C(O)C2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(N4CNc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.258	0.293	[3, 2, 1, 0, 15, 16, 17, 18, 24, 14, 12, 11, 9, 10]	CELLUL_DEGepp	HC02191	dchac	14	0.538	1.089	Prednisone_7
CC12C=CC(=O)C=C1CCC1C2C(=O)C(O)C2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(N4CNc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.258	0.293	[3, 2, 1, 0, 15, 16, 17, 18, 24, 14, 12, 11, 9, 10]	RE2636C	HC02191	dchac	14	0.538	1.089	Prednisone_7
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(OS(=O)(=O)[O-])C(=O)CO	O	0.502	0.503	[3, 4]	MNXR104605	MNXM731293	MNXM736990	2	0.077	1.082	Prednisone_8
CC(C)n1c(C=CC(O)CC(CC(=O)O[Na])OC2(C(=O)CO)CCC3C4CCC5=CC(=O)C=CC5(C)C4C(=O)CC32C)c(-c2ccc(F)cc2)c2ccccc21		0.198	0.801	[4, 3]	MNXR162999	MNXM1105765	MNXM744701	2	0.077	1.076	Prednisone_13
CC12CC3=C(CCC(=O)O)C(C)(CC(=O)O)C(=CC4=NC5(C6=NC(=CC(=N1)C(CCC(=O)O)=C2CC(=O)O)C(C)(CCC(=O)O)C6CC(=O)O)C(C)(CC(=O)OC5(CO)C1(O)CCC2C5CCC6=CC(=O)C=CC6(C)C5C(=O)CC21C)C4CCC(=O)O)N3[Co+]	O	0.01	0.944	[7, 5, 6]	MNXR135638	MNXM75	MNXM736804	3	0.115	1.069	Prednisone_14
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CC(O)C2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.311	0.335	[10, 9, 11, 12, 14, 15, 0, 1, 2, 3, 4]	MNXR107941	MNXM733896	MNXM2673	11	0.423	1.069	Prednisone_15
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(OP(=O)([O-])OCC1OC(n2ccc(N)nc2=O)C(O)C1O)C(=O)CO	O=P([O-])([O-])OP(=O)([O-])O	0.242	0.739	[3, 4]	MNXR190117	MNXM1106047	MNXM1103953	2	0.077	1.058	Prednisone_16
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(OP(=O)([O-])OCC1OC(n2ccc(N)nc2=O)C(O)C1O)C(=O)CO	O=P([O-])([O-])OP(=O)([O-])O	0.242	0.739	[3, 4]	MNXR152785	MNXM1106046	MNXM1103953	2	0.077	1.058	Prednisone_16
CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(O)C(OC3(C(=O)[O-])CC(O)C(NC(C)=O)C(C(O)C(CO)OC4(C(=O)CO)CCC5C6CCC7=CC(=O)C=CC7(C)C6C(=O)CC54C)O3)C2O)C(O)C1O)NC(C)=O	O	0.242	0.737	[4, 3]	MNXR159773	MNXM1106047	MNXM6274	2	0.077	1.056	Prednisone_17
CC(C)c1nc(C(C)C)c(COC2(C(=O)CO)CCC3C4CCC5=CC(=O)C=CC5(C)C4C(=O)CC32C)c(-c2ccc(F)cc2)c1C=CC(O)CC(O)C(=O)O[Na]	O	0.198	0.767	[4, 3]	MNXR155372	MNXM1105765	MNXM744673	2	0.077	1.042	Prednisone_18
CC12CC(=O)C3C(CCC4=CC(=O)C=CC43CO)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.466	0.49	[24, 25]	MNXR177918	MNXM736942	MNXM6860	2	0.077	1.033	Prednisone_9
CC12CC(=O)C3C(CCC4=CC(=O)C=CC43CO)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.466	0.49	[24, 25]	MNXR177897	MNXM4307	MNXM739724	2	0.077	1.033	Prednisone_9
CC(C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)(CO)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(=O)CC21C		0.023	0.878	[5, 6, 7]	MNXR106758	MNXM69	MNXM738689	3	0.115	1.016	Prednisone_19
CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-])C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)(CO)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(=O)CC21C		0.023	0.878	[5, 6, 7]	MNXR106546	MNXM69	MNXM730062	3	0.115	1.016	Prednisone_20
CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OC(CO)C(O)C(OC5(C(=O)CO)CCC6C7CCC8=CC(=O)C=CC8(C)C7C(=O)CC65C)C4O)C3NC(C)=O)C(O)C2O)C(O)C1O)NC(C)=O	O	0.242	0.696	[4, 3]	MNXR159775	MNXM1106047	MNXM1104485	2	0.077	1.015	Prednisone_21
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(CO)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.466	0.438	[9, 10]	MNXR177897	MNXM4307	MNXM739724	2	0.077	0.981	Prednisone_10
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(CO)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.466	0.438	[9, 10]	MNXR177918	MNXM736942	MNXM6860	2	0.077	0.981	Prednisone_10
CC(=O)NC1C(O)CC(OC2(C(=O)CO)CCC3C4CCC5=CC(=O)C=CC5(C)C4C(=O)CC32C)(C(=O)[O-])OC1C(O)C(O)CO	O	0.225	0.676	[3, 4]	MNXR148859	MNXM1104129	MNXM727115	2	0.077	0.978	Prednisone_22
